,x,y,z,value,token
9771,-0.1796875,0.13562012,-0.05126953,0.00046348572, instead ->  of
9772,-0.18762207,-0.0067481995,-0.088256836,0.00046348572, And ->  the
9773,-0.14880371,0.099853516,-0.30078125,0.00046348572, but ->  don
9774,-0.1862793,0.09057617,0.015014648,0.0004632473, Within ->  each
9775,-0.18762207,0.04663086,-0.03994751,0.00046300888,", ->  the"
9776,-0.18481445,0.09710693,-0.13000488,0.00046300888,", ->  the"
9777,-0.18737793,0.06317139,0.040802002,0.00046277046,Following ->  the
9778,-0.17663574,0.14538574,0.0236969,0.00046277046, when ->  it
9779,-0.03869629,0.2130127,-0.0013475418,0.00046277046, during ->  the
9780,-0.14282227,0.19250488,0.010795593,0.00046277046, when ->  it
9781,-0.18713379,0.07183838,0.054473877,0.00046277046, if ->  the
9782,-0.18762207,0.039093018,0.019454956,0.00046253204, that ->  the
9783,-0.18774414,0.02583313,0.0008940697,0.00046253204, that ->  she
9784,-0.13208008,0.1986084,0.01737976,0.00046253204, when ->  the
9785,-0.18774414,0.0072021484,0.036254883,0.00046253204, Once ->  I
9786,-0.18737793,0.06048584,0.028198242,0.00046229362, with ->  many
9787,-0.18774414,0.016815186,0.0093688965,0.00046229362, the ->  be
9788,-0.18762207,0.02217102,0.031402588,0.00046229362," likely -> ,"
9789,-0.18054199,0.13110352,0.040893555,0.0004620552, When ->  you
9790,-0.1875,0.057647705,0.026138306,0.0004620552, than ->  that
9791,-0.18762207,0.027404785,0.008666992,0.0004620552," Usually -> ,"
9792,-0.18762207,0.02809143,0.014930725,0.0004618168, whether ->  the
9793,-0.17089844,0.15917969,0.03552246,0.0004618168, When ->  a
9794,-0.18762207,0.0061149597,0.020858765,0.0004618168,", ->  the"
9795,-0.18762207,0.028015137,0.029083252,0.0004618168, If ->  you
9796,-0.18762207,0.027374268,0.012062073,0.0004618168, whether ->  Mars
9797,-0.18762207,0.021865845,0.005329132,0.0004618168," Also -> ,"
9798,-0.18737793,0.058166504,0.025741577,0.0004618168, which ->  is
9799,-0.18701172,0.07244873,0.029129028,0.00046157837, after ->  the
9800,-0.18762207,-0.0014314651,0.009414673,0.00046157837, out ->  that
9801,-0.18640137,0.047027588,-0.13659668,0.00046157837,", ->  the"
9802,-0.18762207,-0.015960693,0.02078247,0.00046157837,Originally ->  a
9803,-0.1772461,0.14318848,0.02583313,0.00046157837,When ->  you
9804,-0.054473877,0.21264648,-0.0066871643,0.00046157837, before ->  recess
