,x,y,z,value,token
242,-0.62109375,-0.06365967,0.24926758,0.32617188,New ->  India
243,-0.62109375,-0.11663818,-0.12866211,0.32592773, new ->  academic
244,-0.6201172,-0.07086182,0.44921875,0.32543945, New ->  York
245,-0.6201172,-0.14611816,0.4255371,0.3251953, New ->  York
246,-0.6196289,0.033599854,0.4338379,0.32470703, New ->  Orleans
247,-0.62060547,-0.011177063,-0.20385742,0.32470703, new ->  ideas
248,-0.62060547,-0.05984497,-0.20385742,0.32470703, new ->  diseases
249,-0.6201172,-0.013641357,-0.05291748,0.32348633,new -> ness
250,-0.6191406,-0.0067443848,0.45288086,0.32348633, New ->  England
251,-0.6196289,-0.119140625,-0.14868164,0.32299805, new ->  territory
252,-0.6191406,-0.10998535,0.39160156,0.32250977, New ->  York
253,-0.6191406,-0.13330078,0.38232422,0.32250977, New ->  York
254,-0.6191406,-0.1607666,0.3659668,0.32226562, New ->  York
255,-0.61816406,0.032196045,0.45361328,0.32202148, New ->  York
256,-0.6191406,-0.19128418,-0.109069824,0.3215332, new ->  nursing
257,-0.61865234,-0.05645752,0.31518555,0.32128906, New ->  Millennium
258,-0.6191406,0.032409668,0.21142578,0.32128906, New ->  Year
259,-0.6171875,-0.021362305,0.4873047,0.32055664, New ->  York
260,-0.6176758,0.0037078857,0.44360352,0.32055664, New ->  York
261,-0.61816406,-0.026763916,-0.14331055,0.31982422, new ->  mobility
262,-0.61816406,-0.036956787,-0.14733887,0.31982422, new ->  molecule
263,-0.61816406,-0.0015945435,-0.19506836,0.31982422, new ->  species
264,-0.6171875,-0.09729004,0.45898438,0.31982422, New ->  York
265,-0.6176758,-0.12963867,0.37109375,0.31958008, New ->  York
266,-0.6171875,-0.013877869,0.44506836,0.31958008, New ->  Yorkers
267,-0.6166992,-0.07824707,0.46118164,0.3190918, New ->  York
268,-0.6176758,-0.17089844,-0.18640137,0.31884766, new ->  life
269,-0.6176758,0.053833008,-0.18334961,0.31860352, new ->  habitats
270,-0.6166992,-0.004020691,0.36279297,0.3178711, New -> market
271,-0.61572266,-0.0067596436,0.4724121,0.31713867, New ->  Jersey
272,-0.6166992,-0.01838684,0.28320312,0.31713867, New ->  Kingdom
273,-0.6166992,-0.11505127,-0.19799805,0.31689453, new ->  technologies
274,-0.6166992,-0.0068969727,-0.21240234,0.31689453, new ->  products
275,-0.61621094,-0.14343262,-0.21154785,0.31567383, new ->  uses
276,-0.61572266,-0.05886841,0.35473633,0.3154297, New ->  World
277,-0.61572266,-0.26879883,-0.119018555,0.31518555, new ->  cancer
278,-0.6152344,0.0065231323,0.41967773,0.31518555, New ->  Zealand
279,-0.6147461,-0.11853027,0.47070312,0.3149414, New ->  York
280,-0.61572266,-0.1529541,-0.19641113,0.3149414, new ->  products
281,-0.61572266,-0.117370605,0.2548828,0.3149414,New -> sp
282,-0.61572266,-0.17126465,0.15612793,0.31469727, New ->  Chart
283,-0.61572266,-0.02368164,-0.21765137,0.31469727, new ->  habits
284,-0.61572266,-0.09643555,-0.20239258,0.31469727, new ->  generation
285,-0.61572266,0.074523926,-0.13806152,0.31469727, new ->  people
286,-0.6142578,0.020080566,0.47485352,0.31420898, New ->  York
287,-0.6152344,-0.25,0.25390625,0.31420898,NEW ->  YORK
288,-0.6147461,-0.019134521,0.41430664,0.31396484, New ->  Orleans
289,-0.6152344,-0.034973145,-0.17749023,0.3137207, new ->  drugs
290,-0.6142578,-0.018844604,0.45629883,0.3137207, New ->  South
291,-0.6142578,-0.22814941,0.38012695,0.31274414, New ->  York
292,-0.6147461,-0.22912598,-0.18859863,0.31274414, new ->  treatment
293,-0.6147461,-0.041015625,-0.2010498,0.3125, new ->  system
294,-0.6147461,-0.0463562,-0.18945312,0.3125, new ->  life
295,-0.6142578,-0.20373535,0.3317871,0.31225586, New ->  York
296,-0.61376953,-0.021469116,0.42456055,0.31201172,New ->  Mexico
297,-0.6142578,-0.03201294,-0.22741699,0.31176758, new ->  areas
298,-0.61279297,-0.04663086,0.47558594,0.31152344, New ->  Zealand
299,-0.61376953,-0.06695557,-0.14770508,0.31030273, new ->  mills
300,-0.61279297,0.024719238,0.41967773,0.31030273, New ->  England
301,-0.61328125,-0.02029419,-0.19714355,0.30981445, new ->  ways
302,-0.6118164,-0.025543213,0.48095703,0.30932617, New ->  Guinea
303,-0.61279297,0.0385437,0.31762695,0.30932617, New ->  Year
304,-0.6113281,-0.0062789917,0.48657227,0.30908203, New ->  York
305,-0.61279297,-0.03793335,-0.2277832,0.30908203, new ->  ideas
306,-0.61279297,-0.026443481,-0.20495605,0.3088379, new ->  words
307,-0.6118164,-0.1105957,0.4501953,0.3088379, New ->  York
